Difficulty,Probe,Front Server,Data File,RTT1,RTT2,RTT3,RTT4,RTT5,RTT6,RTT7,RTT8,RTT9,RTT10,RTT11,RTT12,RTT13,RTT14,RTT15,RTT16,RTT17,RTT18,RTT19,RTT20
Challenge-1,cdgeb-probe-14,cdgeb-server-12,cdgeb-file-01,0.271192,0.10165,0.104269,0.114672,0.111449,0.116047,0.097621,0.10465,0.109956,0.097956,0.116545,0.104955,0.107782,0.097285,0.108978,0.116487,0.109035,0.09893,0.115169,0.110213
Challenge-2,cdgeb-probe-08,cdgeb-server-11,cdgeb-file-07,1.120666,0.62014,0.619905,0.614746,0.620332,0.61545,0.613316,0.614066,0.611904,0.612889,0.619487,0.616299,0.619761,0.620699,0.614458,0.615836,0.620707,0.619654,0.618217,0.615626
Challenge-2,cdgeb-probe-14,cdgeb-server-16,cdgeb-file-06,1.104429,0.629728,0.619708,0.639373,0.624838,0.62674,0.616021,0.629601,0.623448,0.617896,0.619981,0.620697,0.618992,0.62546,0.620325,0.623451,0.618473,0.617442,0.618097,0.624445
Challenge-2,cdgeb-probe-07,cdgeb-server-11,cdgeb-file-13,0.905342,0.600389,0.601311,0.597241,0.595656,0.599288,0.608661,0.616057,0.597778,0.599878,0.596217,0.604012,0.603376,0.61081,0.59781,0.599028,0.600114,0.599013,0.59795,0.602626
Challenge-1,cdgeb-probe-13,cdgeb-server-15,cdgeb-file-03,1.434679,0.687423,0.692032,0.690057,0.693404,0.689591,0.691948,0.69056,0.691945,0.693353,0.691017,0.688791,0.68904,0.689088,0.688723,0.691477,0.692789,0.69433,0.693504,0.690855
Challenge-1,cdgeb-probe-05,cdgeb-server-12,cdgeb-file-04,1.430711,0.548741,0.547811,0.547604,0.548021,0.54676,0.555101,0.547798,0.546868,0.560096,0.553961,0.563129,0.547553,0.54815,0.546789,0.548025,0.546492,0.546642,0.549618,0.546492
Challenge-2,cdgeb-probe-01,cdgeb-server-12,cdgeb-file-10,2.401201,0.609209,0.609948,0.61107,0.611052,0.617092,0.611244,0.607044,0.609201,0.607487,0.638394,0.610505,0.608021,0.607647,0.609674,0.613171,0.610145,0.608294,0.60895,0.609037
Challenge-2,cdgeb-probe-14,cdgeb-server-12,cdgeb-file-16,1.287669,0.365719,0.360802,0.361502,0.354872,0.376391,0.361516,0.366918,0.366495,0.367898,0.362087,0.349153,0.371725,0.361268,0.360523,0.374545,0.360821,0.366976,0.362787,0.368223
Challenge-2,cdgeb-probe-04,cdgeb-server-05,cdgeb-file-10,1.033584,0.489651,0.484646,0.488195,0.488279,0.485528,0.486798,0.491435,0.489969,0.489439,0.489233,0.489904,0.483364,0.506234,0.490674,0.48919,0.493605,0.497167,0.485837,0.489901
Challenge-2,cdgeb-probe-10,cdgeb-server-17,cdgeb-file-11,0.383315,0.215234,0.372133,0.216352,0.213146,0.216138,0.21121,0.215532,0.210621,0.212303,0.211442,0.21569,0.212645,0.214418,0.212667,0.210061,0.20918,0.214908,0.212703,0.213081
Challenge-2,cdgeb-probe-11,cdgeb-server-06,cdgeb-file-16,0.957397,0.524553,0.528666,0.524987,0.529602,0.526867,0.522709,0.531535,0.527953,0.528083,0.531679,0.525932,0.526511,0.525593,0.529853,0.526487,0.525562,0.528782,0.525663,0.527418
Challenge-2,cdgeb-probe-07,cdgeb-server-07,cdgeb-file-17,0.842607,0.376035,0.374713,0.377354,0.37598,0.373796,0.379575,0.377499,0.379344,0.382176,0.379087,0.375926,0.375985,0.375628,0.377717,0.376288,0.378983,0.378274,0.382545,0.379087
Challenge-1,cdgeb-probe-04,cdgeb-server-12,cdgeb-file-01,0.45238,0.287006,0.28645,0.286315,0.296536,0.287889,0.285654,0.28795,0.286635,0.285642,0.287142,0.289405,0.287225,0.288528,0.289094,0.289125,0.288684,0.288909,0.285961,0.288367
Challenge-2,cdgeb-probe-05,cdgeb-server-06,cdgeb-file-14,0.561751,0.271954,0.253434,0.248801,0.250465,0.252011,0.254066,0.253017,0.254976,0.251553,0.252702,0.250891,0.253814,0.248479,0.25288,0.252006,0.25508,0.254157,0.253043,0.256666
Challenge-2,cdgeb-probe-13,cdgeb-server-10,cdgeb-file-12,1.233523,0.493614,0.502331,0.491562,0.49314,0.494384,0.491394,0.504699,0.492874,0.4951,0.499321,0.496476,0.493601,0.501058,0.487512,0.4906,0.503083,0.491003,0.494787,0.493454
Challenge-2,cdgeb-probe-06,cdgeb-server-12,cdgeb-file-16,1.78099,0.856892,0.853267,0.863607,0.846045,0.850924,0.856528,0.855492,0.855818,0.847159,0.851255,0.857454,0.857637,0.855671,0.855924,0.851602,0.845218,0.853196,0.847914,0.852263
Challenge-2,cdgeb-probe-03,cdgeb-server-08,cdgeb-file-11,0.911647,0.482726,0.468667,0.482217,0.470976,0.47646,0.476267,0.463967,0.506149,0.463006,0.46631,0.464667,0.487713,0.469257,0.476592,0.468485,0.479412,0.464074,0.487614,0.47598
Challenge-2,cdgeb-probe-01,cdgeb-server-08,cdgeb-file-10,1.44211,0.311313,0.309242,0.310813,0.30998,0.308557,0.311008,0.312872,0.31249,0.309541,0.308774,0.309726,0.307682,0.312583,0.3103,0.313097,0.310084,0.312326,0.313591,0.318218
Challenge-1,cdgeb-probe-05,cdgeb-server-06,cdgeb-file-04,0.670218,0.278523,0.279612,0.278848,0.27699,0.276196,0.278419,0.275406,0.276755,0.278815,0.275379,0.275619,0.275227,0.276487,0.274206,0.277092,0.27694,0.276653,0.276772,0.276247
Challenge-2,cdgeb-probe-06,cdgeb-server-08,cdgeb-file-16,1.112352,0.53222,0.530013,0.532294,0.527807,0.531429,0.530974,0.53013,0.531831,0.527971,0.530732,0.530419,0.53007,0.529594,0.528148,0.531634,0.533993,0.531101,0.529224,0.527483
Challenge-1,cdgeb-probe-06,cdgeb-server-03,cdgeb-file-01,1.528024,0.700844,0.700673,0.698481,0.698582,0.693851,0.694284,0.696301,0.701606,0.700546,0.700128,0.692788,0.698896,0.698045,0.700372,0.90159,0.70253,0.700134,0.698647,0.699186
Challenge-1,cdgeb-probe-07,cdgeb-server-15,cdgeb-file-03,1.084769,0.338679,0.34022,0.339088,0.340626,0.341454,0.374815,0.3369,0.345712,0.339175,0.341821,0.341219,0.341185,0.34023,0.338985,0.336114,0.336277,0.335806,0.33915,0.339615
Challenge-2,cdgeb-probe-03,cdgeb-server-08,cdgeb-file-16,1.120408,0.533527,0.516615,0.521436,0.52332,0.538092,0.531271,0.528383,0.521624,0.523525,0.515681,0.518043,0.536575,0.516961,0.510359,0.524445,0.529145,0.531637,0.53323,0.537719
Challenge-1,cdgeb-probe-01,cdgeb-server-01,cdgeb-file-05,0.149032,0.052401,0.053167,0.05179,0.054481,0.055124,0.053143,0.052062,0.054193,0.055391,0.054074,0.053114,0.053117,0.052938,0.051924,0.053344,0.051802,0.0556,0.052536,0.055856
Challenge-2,cdgeb-probe-06,cdgeb-server-12,cdgeb-file-09,1.218198,0.710871,0.708092,0.711143,0.716532,0.708637,0.708676,0.70869,0.709985,0.709418,0.71172,0.709536,0.708794,0.709281,0.711298,0.708923,0.710566,0.711747,0.710451,0.711187
Challenge-1,cdgeb-probe-11,cdgeb-server-11,cdgeb-file-04,1.147544,0.337701,0.337448,0.338738,0.340233,0.330599,0.331012,0.332795,0.332017,0.331734,0.331612,0.337849,0.330978,0.358857,0.337399,0.330933,0.332141,0.32854,0.336043,0.339858
Challenge-1,cdgeb-probe-04,cdgeb-server-10,cdgeb-file-05,1.28343,0.639421,0.635569,0.634809,0.635828,0.638868,0.638095,0.634849,0.643876,0.633445,0.64596,0.635255,0.636603,0.630988,0.632971,0.635954,0.634329,0.636117,0.636051,0.626729
Challenge-2,cdgeb-probe-14,cdgeb-server-06,cdgeb-file-09,1.170932,0.544986,0.546261,0.545618,0.549229,0.549491,0.553502,0.546035,0.546814,0.544628,0.546442,0.545665,0.557827,0.561964,0.546834,0.551211,0.546844,0.552799,0.55502,0.552022
Challenge-1,cdgeb-probe-07,cdgeb-server-07,cdgeb-file-05,0.297536,0.240285,0.241489,0.237744,0.242485,0.243733,0.24101,0.237977,0.241023,0.244439,0.238559,0.2455,0.240787,0.244501,0.239391,0.239843,0.239903,0.240078,0.241822,0.242209
Challenge-2,cdgeb-probe-04,cdgeb-server-04,cdgeb-file-15,0.66011,0.296206,0.295426,0.295931,0.293217,0.30301,0.296098,0.298678,0.298732,0.294358,0.293607,0.292594,0.294699,0.29385,0.295336,0.293978,0.295406,0.294005,0.295747,0.294764
Challenge-1,cdgeb-probe-08,cdgeb-server-03,cdgeb-file-01,1.493779,0.657125,0.652432,0.651215,0.655629,0.655818,0.659643,0.677307,0.657095,0.659586,0.653951,0.654691,0.651673,0.657752,0.659769,0.655756,0.654942,0.656471,0.652958,0.655925
Challenge-2,cdgeb-probe-14,cdgeb-server-01,cdgeb-file-12,0.652051,0.400624,0.402041,0.403026,0.400884,0.404132,0.409455,0.400757,0.405627,0.401578,0.402593,0.403293,0.40398,0.403204,0.410975,0.402872,0.405041,0.405515,0.410612,0.402281
Challenge-1,cdgeb-probe-11,cdgeb-server-01,cdgeb-file-05,0.484197,0.390445,0.391648,0.390786,0.391263,0.389788,0.390203,0.391081,0.388701,0.391463,0.389676,0.394359,0.393969,0.391085,0.390077,0.390125,0.389473,0.39076,0.3908,0.39132
Challenge-2,cdgeb-probe-05,cdgeb-server-08,cdgeb-file-13,0.790325,0.205822,0.207533,0.207472,0.208688,0.205043,0.208186,0.208056,0.208523,0.203614,0.20574,0.204825,0.207592,0.206533,0.207274,0.209336,0.207425,0.205231,0.205811,0.216713
Challenge-2,cdgeb-probe-03,cdgeb-server-17,cdgeb-file-14,0.619207,0.477844,0.47628,0.470538,0.477293,0.473784,0.470773,0.477431,0.472166,0.470469,0.474206,0.475309,0.477367,0.472294,0.479177,0.472095,0.495764,0.472154,0.475774,0.476777
