Server ID            Lat.        Long.
cdgeb-server-01    39.0469     -77.4903
cdgeb-server-02    51.5088     -0.093
cdgeb-server-03    -23.5335    -46.6359
cdgeb-server-04    35.6893     139.6899
cdgeb-server-05    1.2929      103.8547
cdgeb-server-06    45.5075     -73.5887
cdgeb-server-07    39.9587     -82.9987
cdgeb-server-08    37.1835     -121.7714
cdgeb-server-09    45.8234     -119.7257
cdgeb-server-10    19.0748     72.8856
cdgeb-server-11    34.6946     135.5021
cdgeb-server-12    37.4585     126.7015
cdgeb-server-13    -33.8715    151.2006
cdgeb-server-14    50.1188     8.6843
cdgeb-server-15    53.3379     -6.2591
cdgeb-server-16    48.4323     2.4075
cdgeb-server-17    59.3287     18.0717
